Scene	Top Left Chunk X	Top Left Chunk Z	Bottom Right Chunk X	Bottom Right Chunk Z	City Server Id	Wilderness Server Id
s	i	i	i	i	i	i
corellia	-5700	-3000	-4500	-1800	1	1
corellia	-6300	-3400	-5100	-2200	1	1
corellia	6000	-6600	7200	-5400	2	2
corellia	-6200	-6800	-5000	-5600	2	2
corellia	4900	900	6100	2100	2	2
corellia	3200	-4600	4300	-3500	2	2
corellia	-4100	2500	-2900	3700	3	3
corellia	-900	-5200	600	-3700	4	5
corellia	2600	4800	3800	6000	1	1
corellia	-2400	-1800	-1300	-700	3	3
corellia	-300	4100	800	5200	3	3
dantooine	-6600	5400	-5400	6600	1	1
dantooine	3400	6400	4600	7600	2	2
dantooine	-1900	1200	600	3700	3	6
dantooine	-4900	-3000	-3700	-1800	4	4
dantooine	-7700	-4100	-6500	-2900	4	4
dantooine	900	-7000	2100	-5800	5	5
dantooine	-500	-1900	100	-1300	5	5
dantooine	6400	-4600	7600	-3400	7	7
dantooine	4200	-2800	4800	-2200	7	7
dathomir	-8000	-8000	-5400	-6100	1	2
endor	-700	-600	500	600	1	1
endor	-1500	900	-300	2100	1	1
endor	5400	-3100	6600	-1900	2	2
endor	-1900	2300	-700	3500	1	1
endor	900	-3900	2100	-2700	2	2
endor	2600	-4100	3800	-2900	2	2
endor	-5300	-2900	-4100	-1700	2	2
endor	3800	-3100	5000	-1900	2	2
endor	-1300	-5700	-100	-4500	2	2
endor	-1000	3100	100	4200	1	1
endor	-3400	-5000	-2200	-3900	2	2
endor	-5600	3300	-3900	5000	3	1
lok	-200	4400	1000	5600	1	1
lok	-2600	-3700	-1400	-2500	2	2
lok	-200	4800	1000	6000	1	1
lok	-400	4500	800	5700	1	1
lok	-3600	-3600	-2400	-2400	2	2
lok	3400	-4600	4600	-3400	2	2
naboo	-6100	3600	-4900	4800	1	2
naboo	-5700	3500	-4500	4700	1	2
naboo	-5400	3500	-4200	4700	1	2
naboo	-5100	3500	-3900	4700	1	2
naboo	-6600	3600	-5400	4800	1	2
naboo	-7100	3600	-5900	4800	1	2
naboo	-7600	3600	-6400	4800	1	2
naboo	-8100	3600	-6900	4800	1	2
naboo	-6100	3900	-4900	5100	1	3
naboo	-5700	3800	-4500	5000	1	3
naboo	-5400	3800	-4200	5000	1	3
naboo	-5100	3800	-3900	5000	1	3
naboo	-6600	3900	-5400	5100	1	3
naboo	-7100	3900	-5900	5100	1	3
naboo	-7600	3900	-6400	5100	1	3
naboo	-8100	3900	-6900	5100	1	3
naboo	-5600	6100	-4500	7200	3	3
naboo	-6100	-700	-4900	500	2	2
naboo	-4700	-1100	-3600	0	2	2
naboo	4200	-2100	5400	-900	4	4
naboo	-4300	-5900	-3200	-4800	4	4
naboo	4200	-5400	5400	-4200	3	4
naboo	4500	6100	5700	7300	5	5
naboo	1000	2000	2200	3200	6	6
